Mode,CollectStats,NUM_THREADS,NUM_NODES_PER_THREAD,NUM_RUNS,Ratio
-m,0,2,5,100,0.02530
-m,0,4,5,100,0.02900
-m,0,8,5,100,0.03090
-m,0,10,5,100,0.03070
-m,0,11,5,100,0.03080
-m,0,12,5,100,0.03250
-m,0,2,10,100,0.02800
-m,0,4,10,100,0.02970
-m,0,8,10,100,0.03260
-m,0,10,10,100,0.03520
-m,0,11,10,100,0.03790
-m,0,12,10,100,0.04000
-m,0,2,20,100,0.02800
-m,0,4,20,100,0.03230
-m,0,8,20,100,0.06730
-m,0,10,20,100,0.78040
-m,0,11,20,100,4.47590
-m,0,12,20,100,12.50810
-m,0,2,35,100,0.02940
-m,0,4,35,100,0.04120
-m,0,8,35,100,9.52790
-m,0,10,35,100,TIMEOUT
-m,0,11,35,100,TIMEOUT
-m,0,12,35,100,TIMEOUT
-m,0,2,50,100,0.03220
-m,0,4,50,100,0.07300
-m,0,8,50,100,TIMEOUT
-m,0,10,50,100,TIMEOUT
-m,0,11,50,100,TIMEOUT
-m,0,12,50,100,TIMEOUT
-f,0,2,5,100,0.02670
-f,0,4,5,100,0.02900
-f,0,8,5,100,0.03060
-f,0,10,5,100,0.03190
-f,0,11,5,100,0.03170
-f,0,12,5,100,0.03150
-f,0,2,10,100,0.02720
-f,0,4,10,100,0.02960
-f,0,8,10,100,0.03300
-f,0,10,10,100,0.03450
-f,0,11,10,100,0.03760
-f,0,12,10,100,0.04040
-f,0,2,20,100,0.02880
-f,0,4,20,100,0.03190
-f,0,8,20,100,0.07440
-f,0,10,20,100,0.76770
-f,0,11,20,100,3.82630
-f,0,12,20,100,TIMEOUT
-f,0,2,35,100,0.03020
-f,0,4,35,100,0.04060
-f,0,8,35,100,TIMEOUT
-f,0,10,35,100,TIMEOUT
-f,0,11,35,100,TIMEOUT
-f,0,12,35,100,TIMEOUT
-f,0,2,50,100,0.03240
-f,0,4,50,100,0.09350
-f,0,8,50,100,TIMEOUT
-f,0,10,50,100,TIMEOUT
-f,0,11,50,100,TIMEOUT
-f,0,12,50,100,TIMEOUT
